2018-07-20 07:42:41, action:GET_TICKET_TYPE, sessioncode:963258, code:00, time_process:0
2018-07-20 07:42:48, action:SEARCH_FILM, cinema:56, code:00, time_process:0
2018-07-20 07:42:54, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:42:58, action:GET_TICKET_TYPE, sessioncode:964034, code:00, time_process:0
2018-07-20 07:43:14, action:GET_TICKET_TYPE, sessioncode:964074, code:00, time_process:0
2018-07-20 07:43:18, action:GET_TICKET_TYPE, sessioncode:964146, code:00, time_process:0
2018-07-20 07:43:24, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:43:29, action:GET_TICKET_TYPE, sessioncode:964022, code:00, time_process:0
2018-07-20 07:43:37, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:43:39, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:43:48, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:44:25, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:44:33, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:44:43, action:SEARCH_FILM, cinema:58, code:00, time_process:0
2018-07-20 07:44:56, action:GET_TICKET_TYPE, sessioncode:963622, code:00, time_process:0
2018-07-20 07:45:53, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:46:31, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:48:03, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:48:29, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:48:50, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:49:56, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:50:33, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:50:49, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:51:13, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:51:15, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:53:01, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:53:19, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:54:41, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:54:47, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:55:11, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:55:21, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:56:37, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:56:38, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:56:39, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:56:46, action:SEARCH_FILM, cinema:50, code:00, time_process:0
2018-07-20 07:56:58, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:57:03, action:GET_TICKET_TYPE, sessioncode:964190, code:00, time_process:0
2018-07-20 07:57:22, action:SEARCH_FILM, cinema:43, code:00, time_process:0
2018-07-20 07:57:50, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:58:17, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:58:36, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:59:19, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:59:20, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 07:59:41, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:00:56, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:01:05, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:01:51, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:02:20, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:03:26, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:04:01, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:04:43, action:SEARCH_FILM, cinema:49, code:00, time_process:0
2018-07-20 08:04:56, action:GET_TICKET_TYPE, sessioncode:968112, code:00, time_process:0
2018-07-20 08:05:17, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:05:20, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:05:42, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:05:44, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:05:51, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:05:57, action:SEARCH_FILM, cinema:43, code:00, time_process:0
2018-07-20 08:06:07, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:06:14, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:06:22, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:06:59, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:07:26, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:07:40, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:07:45, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:07:49, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:07:55, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:08:00, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:08:02, action:SEARCH_FILM, cinema:67, code:00, time_process:0
2018-07-20 08:08:20, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:08:22, action:SEARCH_FILM, cinema:50, code:00, time_process:0
2018-07-20 08:08:25, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:08:33, action:GET_TICKET_TYPE, sessioncode:965116, code:00, time_process:0
2018-07-20 08:08:34, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:08:53, action:GET_SEAT, queryId:218049, code:00, time_process:4
2018-07-20 08:09:23, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:09:54, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:10:02, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:10:14, action:SEARCH_FILM, cinema:57, code:00, time_process:0
2018-07-20 08:10:26, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:10:37, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:10:43, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:10:46, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:11:51, action:SEARCH_FILM, cinema:57, code:00, time_process:0
2018-07-20 08:12:43, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:13:11, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:13:19, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:13:26, action:SEARCH_FILM, cinema:58, code:00, time_process:0
2018-07-20 08:14:38, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:14:45, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:14:53, action:SEARCH_FILM, cinema:57, code:00, time_process:0
2018-07-20 08:15:18, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:15:32, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:15:32, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:15:35, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:15:37, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:15:46, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:15:47, action:SEARCH_FILM, cinema:58, code:00, time_process:0
2018-07-20 08:15:50, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:15:51, action:SEARCH_FILM, cinema:56, code:00, time_process:0
2018-07-20 08:16:05, action:GET_TICKET_TYPE, sessioncode:964148, code:00, time_process:0
2018-07-20 08:16:21, action:GET_TICKET_TYPE, sessioncode:964066, code:00, time_process:0
2018-07-20 08:16:22, action:GET_SEAT, queryId:218050, code:00, time_process:3
2018-07-20 08:16:28, action:SEARCH_FILM, cinema:57, code:00, time_process:0
2018-07-20 08:17:02, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:17:21, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:17:37, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:17:45, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:18:00, action:GET_TICKET_TYPE, sessioncode:964528, code:00, time_process:0
2018-07-20 08:18:07, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:18:16, action:CREATE_ORDER, queryId:218050, code:00, time_process:1
2018-07-20 08:18:18, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:18:19, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:18:30, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:18:51, action:CONFIRM_TICKET, queryId:218050, code:00, time_process:1
2018-07-20 08:18:52, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:19:18, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:19:20, action:SEARCH_FILM, cinema:49, code:00, time_process:0
2018-07-20 08:20:07, action:SEARCH_FILM, cinema:57, code:00, time_process:0
2018-07-20 08:20:08, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:20:15, action:SEARCH_FILM, cinema:56, code:00, time_process:0
2018-07-20 08:20:32, action:GET_TICKET_TYPE, sessioncode:964172, code:00, time_process:0
2018-07-20 08:20:40, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:21:29, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:21:56, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:21:58, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:22:05, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:22:23, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:22:28, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:22:55, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:23:00, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:23:10, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:23:33, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:23:38, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:24:03, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:24:08, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:24:18, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:24:28, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:25:41, action:SEARCH_FILM, cinema:67, code:00, time_process:0
2018-07-20 08:26:02, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:26:04, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
